Defect Type,defect_count,percent_of_records,cumulative_percent
missing component,181,20.3829,20.3829
missing/unknown,172,19.3694,39.7523
no property assembled,171,19.2568,59.009
component misalignment,160,18.018,77.027
bad modules,32,3.6036,80.6306
wrong configuration,30,3.3784,84.009
reversed component,28,3.1532,87.1622
insufficient solder,19,2.1396,89.3018
damaged/ lifted pad,18,2.027,91.3288
long terminals,17,1.9144,93.2432
lifted component,16,1.8018,95.045
component broken,15,1.6892,96.7342
wrong component,15,1.6892,98.4234
pin damaged,7,0.7883,99.2117
wrong routing,7,0.7883,100.0
