Production Model,defect_count,percent_of_records,cumulative_percent
Model 595130-195,888,28.1905,28.1905
Model 595214-125,663,21.0476,49.2381
Model 595242-854,630,20.0,69.2381
Model 595532-132,335,10.6349,79.873
Model 595859-381,250,7.9365,87.8095
Model 595323-328,140,4.4444,92.254
Model 595204-792,130,4.127,96.381
Model 595858-658,52,1.6508,98.0317
Model 595189-704,48,1.5238,99.5556
Model 595323-338,14,0.4444,100.0
